user_id,recipe_id,rating,cuisine
0,it_001252,4.0,italian
0,ja_004684,5.0,japanese
0,ja_001731,5.0,japanese
0,ja_004742,2.0,japanese
0,ja_004521,3.2,japanese
0,it_001340,3.6,italian
0,ja_000576,5.0,japanese
0,it_000202,4.5,italian
0,it_001363,4.6,italian
0,ja_000439,5.0,japanese
0,ja_002750,3.1,japanese
0,it_002487,2.1,italian
0,it_000272,4.4,italian
0,it_000653,4.3,italian
0,ja_003999,2.4,japanese
0,it_001033,2.2,italian
0,ja_000582,3.1,japanese
0,it_004930,5.0,italian
0,it_002051,2.6,italian
0,it_003158,3.2,italian
1,it_000482,4.5,italian
1,ja_000093,4.3,japanese
1,it_002936,3.1,italian
1,it_003406,3.5,italian
1,ja_001356,3.8,japanese
1,it_004369,3.7,italian
1,ja_004575,2.8,japanese
1,ja_003122,5.0,japanese
1,ja_000980,4.6,japanese
1,ja_000053,5.0,japanese
1,it_002917,3.3,italian
1,it_002110,3.2,italian
1,it_003187,2.6,italian
1,it_004496,3.1,italian
1,ja_003001,2.7,japanese
1,ja_002766,3.4,japanese
1,it_003790,2.3,italian
1,it_004013,1.2,italian
1,ja_003423,2.2,japanese
1,ja_003733,4.1,japanese
2,ja_000491,4.4,japanese
2,it_000501,3.3,italian
2,it_000567,5.0,italian
2,ja_002204,5.0,japanese
2,it_004553,4.5,italian
2,ja_002759,2.3,japanese
2,ja_004810,4.0,japanese
2,it_000568,3.9,italian
2,ja_004037,3.2,japanese
2,ja_001733,3.4,japanese
2,ja_001959,4.9,japanese
2,it_001927,4.2,italian
2,it_004473,2.5,italian
2,ja_003828,1.8,japanese
2,ja_000562,3.1,japanese
2,ja_002712,5.0,japanese
2,it_001321,5.0,italian
2,it_003713,2.5,italian
2,ja_002123,5.0,japanese
2,ja_001636,4.7,japanese
3,it_003477,5.0,italian
3,ja_004914,3.8,japanese
3,it_002126,5.0,italian
3,it_000288,2.5,italian
3,it_002483,4.8,italian
3,ja_001457,3.6,japanese
3,it_004310,5.0,italian
3,it_004277,3.5,italian
3,it_000249,1.0,italian
3,ja_003125,3.7,japanese
3,it_003816,2.0,italian
3,ja_003587,3.2,japanese
3,it_004925,4.9,italian
3,it_002366,2.4,italian
3,ja_004753,4.3,japanese
3,ja_004209,1.2,japanese
3,ja_003416,5.0,japanese
3,ja_003879,4.5,japanese
3,it_004746,3.2,italian
3,ja_002635,3.6,japanese
4,ja_001678,4.2,japanese
4,ja_004764,3.8,japanese
4,it_001302,3.0,italian
4,it_004158,5.0,italian
4,it_001154,2.9,italian
4,it_004070,3.8,italian
4,it_001876,4.6,italian
4,ja_001336,3.8,japanese
4,it_004796,3.4,italian
4,it_002418,3.7,italian
4,it_001296,3.3,italian
4,it_004901,5.0,italian
4,it_004404,3.3,italian
4,it_002005,4.4,italian
4,ja_004217,2.9,japanese
4,ja_002850,5.0,japanese
4,ja_001745,3.1,japanese
4,it_001047,3.9,italian
4,it_004254,4.1,italian
4,ja_001504,4.7,japanese
5,it_000892,2.2,italian
5,ja_004386,2.8,japanese
5,it_002976,2.6,italian
5,ja_003830,3.6,japanese
5,it_003010,3.0,italian
5,it_000051,3.2,italian
5,ja_004007,3.9,japanese
5,it_000511,3.2,italian
5,it_002180,4.9,italian
5,ja_002618,5.0,japanese
5,ja_002758,3.6,japanese
5,ja_004800,3.1,japanese
5,ja_002287,1.0,japanese
5,it_004496,4.3,italian
5,it_000496,2.8,italian
5,ja_003665,2.5,japanese
5,it_004728,4.5,italian
5,it_000248,5.0,italian
5,it_003101,5.0,italian
5,ja_001747,3.2,japanese
6,it_001185,2.3,italian
6,ja_004137,3.7,japanese
6,ja_003938,2.7,japanese
6,it_003356,4.4,italian
6,it_000232,5.0,italian
6,it_002208,1.0,italian
6,it_000491,3.9,italian
6,it_001767,5.0,italian
6,it_002438,3.9,italian
6,it_001280,4.0,italian
